Country Name,Country Code,Year,Value
Kazakhstan,KAZ,1960,9934563
Kazakhstan,KAZ,1961,10349414
Kazakhstan,KAZ,1962,10756928
Kazakhstan,KAZ,1963,11147859
Kazakhstan,KAZ,1964,11511847
Kazakhstan,KAZ,1965,11841920
Kazakhstan,KAZ,1966,12132559
Kazakhstan,KAZ,1967,12385710
Kazakhstan,KAZ,1968,12611426
Kazakhstan,KAZ,1969,12824606
Kazakhstan,KAZ,1970,13036139
Kazakhstan,KAZ,1971,13250213
Kazakhstan,KAZ,1972,13463985
Kazakhstan,KAZ,1973,13673007
Kazakhstan,KAZ,1974,13869975
Kazakhstan,KAZ,1975,14050226
Kazakhstan,KAZ,1976,14212145
Kazakhstan,KAZ,1977,14359624
Kazakhstan,KAZ,1978,14499952
Kazakhstan,KAZ,1979,14643133
Kazakhstan,KAZ,1980,14796174
Kazakhstan,KAZ,1981,14958908
Kazakhstan,KAZ,1982,15128087
Kazakhstan,KAZ,1983,15303309
Kazakhstan,KAZ,1984,15483419
Kazakhstan,KAZ,1985,15665595
Kazakhstan,KAZ,1986,15852525
Kazakhstan,KAZ,1987,16039251
Kazakhstan,KAZ,1988,16206002
Kazakhstan,KAZ,1989,16249500
Kazakhstan,KAZ,1990,16348000
Kazakhstan,KAZ,1991,16450500
Kazakhstan,KAZ,1992,16439095
Kazakhstan,KAZ,1993,16330419
Kazakhstan,KAZ,1994,16095199
Kazakhstan,KAZ,1995,15815626
Kazakhstan,KAZ,1996,15577894
Kazakhstan,KAZ,1997,15333703
Kazakhstan,KAZ,1998,15071300
Kazakhstan,KAZ,1999,14928426
Kazakhstan,KAZ,2000,14883626
Kazakhstan,KAZ,2001,14858335
Kazakhstan,KAZ,2002,14858948
Kazakhstan,KAZ,2003,14909018
Kazakhstan,KAZ,2004,15012985
Kazakhstan,KAZ,2005,15147029
Kazakhstan,KAZ,2006,15308084
Kazakhstan,KAZ,2007,15484192
Kazakhstan,KAZ,2008,15674000
Kazakhstan,KAZ,2009,16092822
Kazakhstan,KAZ,2010,16321872
Kazakhstan,KAZ,2011,16557201
Kazakhstan,KAZ,2012,16792089
Kazakhstan,KAZ,2013,17035550
Kazakhstan,KAZ,2014,17288285
Kazakhstan,KAZ,2015,17542806
Kazakhstan,KAZ,2016,17794055
Kazakhstan,KAZ,2017,18037776
Kazakhstan,KAZ,2018,18272430
Kazakhstan,KAZ,2019,18513673
Kazakhstan,KAZ,2020,18754440
Kazakhstan,KAZ,2021,19169550
