Country Name,Year,Country Code,Low Fertility,Medium Fertility,High Fertility
Kazakhstan,2022,KAZ,19162460,19205038,19266161
Kazakhstan,2023,KAZ,19329521,19407012,19499450
Kazakhstan,2024,KAZ,19482948,19601103,19727056
Kazakhstan,2025,KAZ,19624993,19787745,19950486
Kazakhstan,2026,KAZ,19757527,19967004,20171296
Kazakhstan,2027,KAZ,19882083,20139592,20391058
Kazakhstan,2028,KAZ,19999849,20307506,20611352
Kazakhstan,2029,KAZ,20111765,20473297,20833684
Kazakhstan,2030,KAZ,20218650,20639019,21059392
Kazakhstan,2031,KAZ,20321344,20805380,21289377
Kazakhstan,2032,KAZ,20420946,20972507,21524061
Kazakhstan,2033,KAZ,20518775,21140980,21763226
Kazakhstan,2034,KAZ,20616218,21311224,22006252
Kazakhstan,2035,KAZ,20714266,21483455,22252649
Kazakhstan,2036,KAZ,20813510,21657965,22502411
Kazakhstan,2037,KAZ,20913771,21834689,22755674
Kazakhstan,2038,KAZ,21014142,22012968,23012126
Kazakhstan,2039,KAZ,21113212,22191829,23271362
Kazakhstan,2040,KAZ,21209798,22370403,23532979
Kazakhstan,2041,KAZ,21303594,22548420,23796778
Kazakhstan,2042,KAZ,21394457,22725585,24062422
Kazakhstan,2043,KAZ,21481520,22901043,24329221
Kazakhstan,2044,KAZ,21563729,23073764,24596349
Kazakhstan,2045,KAZ,21640298,23242950,24863127
Kazakhstan,2046,KAZ,21710805,23408180,25129292
Kazakhstan,2047,KAZ,21775006,23569278,25394693
Kazakhstan,2048,KAZ,21832569,23725806,25658990
Kazakhstan,2049,KAZ,21883210,23877473,25921870
Kazakhstan,2050,KAZ,21926764,24024036,26183148
Kazakhstan,2051,KAZ,21963068,24165344,26442675
Kazakhstan,2052,KAZ,21992123,24301413,26700570
Kazakhstan,2053,KAZ,22014235,24432556,26957186
Kazakhstan,2054,KAZ,22029787,24559246,27213070
Kazakhstan,2055,KAZ,22039220,24681909,27468723
Kazakhstan,2056,KAZ,22042619,24800679,27724264
Kazakhstan,2057,KAZ,22040174,24915710,27979847
Kazakhstan,2058,KAZ,22032365,25027481,28235947
Kazakhstan,2059,KAZ,22019759,25136555,28493098
Kazakhstan,2060,KAZ,22002837,25243435,28751725
Kazakhstan,2061,KAZ,21981868,25348352,29012068
Kazakhstan,2062,KAZ,21957007,25451441,29274210
Kazakhstan,2063,KAZ,21928489,25552849,29538257
Kazakhstan,2064,KAZ,21896489,25652704,29804279
Kazakhstan,2065,KAZ,21861156,25751107,30072280
Kazakhstan,2066,KAZ,21822681,25848175,30342342
Kazakhstan,2067,KAZ,21781189,25943964,30614514
Kazakhstan,2068,KAZ,21736708,26038451,30888655
Kazakhstan,2069,KAZ,21689253,26131493,31164655
Kazakhstan,2070,KAZ,21638823,26223002,31442334
Kazakhstan,2071,KAZ,21585472,26313002,31721677
Kazakhstan,2072,KAZ,21529299,26401473,32002638
Kazakhstan,2073,KAZ,21470273,26488280,32285080
Kazakhstan,2074,KAZ,21408362,26573284,32568793
Kazakhstan,2075,KAZ,21343553,26656354,32853655
Kazakhstan,2076,KAZ,21275825,26737428,33139565
Kazakhstan,2077,KAZ,21205253,26816461,33426451
Kazakhstan,2078,KAZ,21131909,26893499,33714397
Kazakhstan,2079,KAZ,21055931,26968606,34003482
Kazakhstan,2080,KAZ,20977392,27041822,34293752
Kazakhstan,2081,KAZ,20896289,27113063,34585158
Kazakhstan,2082,KAZ,20812569,27182246,34877554
Kazakhstan,2083,KAZ,20726232,27249297,35170860
Kazakhstan,2084,KAZ,20637251,27314152,35464984
Kazakhstan,2085,KAZ,20545597,27376705,35759784
Kazakhstan,2086,KAZ,20451194,27436838,36055139
Kazakhstan,2087,KAZ,20353934,27494424,36350898
Kazakhstan,2088,KAZ,20253624,27549277,36646888
Kazakhstan,2089,KAZ,20150031,27601175,36942930
Kazakhstan,2090,KAZ,20042934,27649907,37238799
Kazakhstan,2091,KAZ,19932166,27695301,37534293
Kazakhstan,2092,KAZ,19817575,27737118,37829193
Kazakhstan,2093,KAZ,19699014,27775201,38123283
Kazakhstan,2094,KAZ,19576345,27809352,38416284
Kazakhstan,2095,KAZ,19449419,27839349,38707946
Kazakhstan,2096,KAZ,19318019,27864949,38997986
Kazakhstan,2097,KAZ,19181937,27885886,39286123
Kazakhstan,2098,KAZ,19040881,27901896,39572016
Kazakhstan,2099,KAZ,18894560,27912650,39855351
Kazakhstan,2100,KAZ,18742639,27917815,40135785
